,forum,thread_title,thread_url,author,member_status,verified_owner,joined,messages,location,cars,comment,date_published,sentiment,de number,lucid_model_name,match_score
589,General Discussions,Test drove the Air,https://lucidowners.com/threads/test-drove-the-air.4787/,GMan,Active Member,True,2022-11-07,159,Nevada,Air Touring,"You make some very keen observations, so credit to you, especially coming from someone with a wealth of EV experience. I might also add a few points here to consider...


Interior Space - the space is incredible and simply non-comparable to Tesla. The back seat is so spacious and luxurious (without being stuffy as you mentioned) that my family joking fights over who gets to sit in the back. They call it ""First Class"" back there.
The Lucid marries performance, efficiency, and comfort in a way I've not seen in any other vehicle. 0-60 like a race car, Rated 425 - 516 Range depending on trim which is unmatched, and first class comfort for all passengers not just the driver.
Fast charging - the Lucid can charge at extremely high throughput and has a Home Charger that can deliver top notch Level 2 charging speeds (80amps delivered)
I put in my reservation in 2021 after test driving a Tesla, which I was dead set on buying - prior to the test drive. I wanted something beyond an iPad for UI, and more space and range. Back when I ordered, I couldn't even test drive as there were no vehicles to do so. To your point, when I did test drive, a year later and two weeks prior to delivery, I was blown away. In my mind I was buying the longest range and purpose build UI as you mentioned EV. I literally had no idea how advanced this vehicle was, and couldn't believe how awesome it felt to drive! I've had mine since 12/31/2022 and everyday I find something else about this Lucid that impresses me more. 

Continue to take your own advice and test drive more, and get more familiar with the vehicle. You'll have a hard time stopping thinking about it.

Good luck.",2023-02-19,8.0,,Air Touring,100.0
63,Charging,"Battery Range, Enjoyed",https://lucidowners.com/threads/battery-range-enjoyed.4155/,jcook3s,Member,False,2022-09-01,50,"Ramona, CA",Lucid Air GT,"Last


 Sunday, we needed to drive to Borrego Springs, California (600’) from our home in the foothills of San Diego county (1,800’). Our car is the AGT with 19” wheels. 
We drove through the mountains and topped out at about 4,000’. The last 20 miles feels almost straight down from the mountains to the desert and when we started down, the car showed 3.2 miles/KWh. After driving down the Montezuma valley road with all of the fine sharp turns and straightaways, the pilot panel showed 5.0 miles per kWh. Almost no traffic going out but the road’s limited our speed to a maximum of 65 or so. The return uphill still allowed nice acceleration, great breaking with regeneration on the turns and when we pulled into the garage, the pilot panel showed 4.1 miles/kWh. Amazing efficiency for what felt like a very spirited drive.",2022-12-27,8.0,1617.0,Air GT,100.0
470,General Automotive / EV Talk,Chevy Bolt Efficiency Compared to Lucid,https://lucidowners.com/threads/chevy-bolt-efficiency-compared-to-lucid.3890/,hmp10,Active Member,True,2020-03-07,2991,"Naples, FL","Model S Plaid, Odyssey","
Exactly. While I have never attained the EPA 3.9 m/Kwh efficiency rating in our Air Dream Performance, we are still able to drive 4 hours nonstop at 80mph on interstate trips in a car that will blow away almost everything else we see on the road with a mere tap of the throttle, all in roomy, quiet comfort. There really is nothing else like it on the road today.",2022-12-10,8.0,154.0,,
334,Photos / Videos / Reviews,[Edmunds] TESTED: 2022 Lucid Air Grand Touring Misses EPA Range by Nearly 80 Miles,https://lucidowners.com/threads/edmunds-tested-2022-lucid-air-grand-touring-misses-epa-range-by-nearly-80-miles.4982/,hmp10,Active Member,True,2020-03-07,2991,"Naples, FL","Model S Plaid, Odyssey","With differences between European WLTP and U.S. EPA standards and further differences between EPA 2-cycle and 5-cycle testing, range estimation for EVs is a morass of confusion for the consumer and obfuscation opportunities for the manufacturers. Personally, I view EPA ratings as next to useless.

The rubber really only meets the road in real-world testing done by journalistic organizations such as Edmunds, Out of Spec Motoring, State of Charge, etc.

And, just as Edmunds found in this report, the longest range any of these independent testers have ever realized in real-world conditions are with Lucids. In fact, even with the questions raised by this report, the possibly-faulty car Edmunds tested still ranked second out of fifty EVs they've tested, with first place held by another Lucid.

Among the large EV luxury sedans, Edmunds got 505 miles from Lucid's longest-range car (an Air Dream Range) compared to 422 miles from MB's longest-range electric (an EQS 450+) with a single motor and far less power. Both Tesla's longest-range car (a Model 3 Long Range) and its large sedan (a Model S Plaid) realized only 345 miles of range with Edmunds.

In trying to market against Tesla's hyped-up range claims derived from 5-cycle EPA testing, Lucid laid a trap for itself with uninitiated EV buyers who take EPA ratings too literally.

If you want the most range you can get when taking an EV on a long road trip in which you drive it as you would an ICE car (i. e., not bothering with attempts at hyper-miling), get a Lucid.

If you want an EV that will deliver its (much lower) EPA range on that same trip, get a Porsche Taycan. You'll have to charge a lot more often, but at least you'll meet that EPA rating.",2023-03-10,8.0,154.0,,
1029,Photos / Videos / Reviews,10K or more on your Lucid? Post your experience here...,https://lucidowners.com/threads/10k-or-more-on-your-lucid-post-your-experience-here.3970/,GEWC,Active Member,True,2022-01-09,468,"Los Gatos, CA",Grand Touring,"I'm at around 11,500 miles - picked up the car at the end of March. I love EVs but have never been a crazy car person before. This car has made me a crazy car person. It is meant to be driven and gives joy when doing so. I freaking love it, to the point that my family thinks I'm bonkers. We've been on 2 trips overseas and I've tried to schedule picking up my car on the way home from the airport - that is how much I want to drive it. Sadly, Christopher has thwarted me each time by bringing my car home and parking it in my garage for me before I get home. The nerve!  

I've had a couple small issues - the frunk had some opening issues off the bat, but they kept at it until it was fixed. They also replaced my creaky steering wheel at the same time. I got a ""front left light malfunction"" error every once in a while (light still worked), so they checked the wiring on that when I was gone and it hasn't been back since. I've had zero issuss that affect my daily driving or have stranded me anywhere - even for a short period of time. Hopefully this post will not jinx that. Service themselves have been stellar and always responsive.

For me, I don't understand all these software complaints. Maybe because I lived through Windows 95? I have a 2013 Model S and the software issues I lived with for years on that jalopy make the Lucid seem almost bug free (and thankfully it doesn't blast hot air at you). The music does pop on its own, but I live and drive through many dead spots, so I live with it by turning the volume down.

I have had 1 EA issue with it charging super slow, though that could be on EA. The fob batteries died often in the beginning, but that has been fixed. I like the Nav system - it was the only thing I was worried about before I got my car and it has been fine. Live traffic has a bit of a lag, but time to arrive is usually spot on.

Efficiency is great. My lifetime average in my Model S is 2.1. In this car it is 4.0. Sadly, colder weather has brought my current numbers to the high 3s, but it doesn't matter. I jump in the car and don't think about how many miles I have left. I've only worried once when I had forgotten to charge and had only 150 miles on the car and had to drive 4 kids over the mountains on a 100 mi round trip to a volleyball game, but even then I needn't have worried.

As an EV lover, it gives you all the satisfaction of an EV (fast, powerful, fun) in a beautiful and extremely comfortable package. I don't worry about the future of the company or the stock price. I wonder when I'm going on my next drive.",2022-12-15,8.0,,Air GT,100.0
768,How-to,Actual range:,https://lucidowners.com/threads/actual-range.4944/,Cosmo Cruz,Active Member,False,2022-05-02,746,philly,Cosmic/Cruz/GT,If my battery loses 50% of it's capacity ... my Lucid will still outlast my bladder....in freezing temps...going uphill...against a headwind.,2023-03-06,8.0,0.0,Air GT,90.0
1019,User Interface,Metronome,https://lucidowners.com/threads/metronome.3151/,Maddraven,Member,False,2022-09-30,50,"Heber City, UT",2022 LUCID AGT,"I can’t quite say I’m used to high regen one-pedal driving yet (with only 250 miles on the Lucid odometer) but I can already see that, for better or worse, there is simply no going back. 

I drove my Lucid to the airport in Utah yesterday and drove my 550hp Panamera turbo in Maryland today. The Lucid makes the Panamera Turbo feel sluggish In comparison !?! Unbelievable, really. Moreover, after driving with high regen, going back to coasting and using the brakes in the Panamera feels like a real step backwards. 

I used to think that nothing would lever beat my Panamera Turbo for that “grand touring feel” but frankly the Lucid is in a different league. If one is focused only on driver experience, feel for road, etc, its really not fair to compare the Lucid AGT to the best of the ICE grand touring cars. The LUCID is simply better. Once the UI gets up to par, it will be the best all-around car ever.",2022-10-22,8.0,,Air GT,90.0
506,General Discussions,999 Mile Mark,https://lucidowners.com/threads/999-mile-mark.4345/,momoskier,Active Member,True,2022-11-19,100,,Lucid Air Grand Touring,"My experience over the past 2 months of ownership has been fabulous. AGT 21 in ZR/Tahoe; Haven’t had a single major error/software problem (touch alcantara!). Apart from the briefly disobedient alexa and the backup camera delays I have absolutely no complaints. The few instances I have used EA, chargepoint and EV go, didn’t have any glitches with charging although I have reliable and fast home charging with the Lucid level 2 home charging station. Driving it has been a joy and the music system is fantastic. I’ve had more “range anxiety” in my jeep than in the Lucid! I actually have been using the sirius xm app regularly without issues except occasional loss of network. My kids enjoy sitting in it (in the palatial rear seats) almost as much as I do and we’ve done a couple of long (ish) trips without a hiccup. Being my first EV, I had a LOT of apprehensions about problems and have been pleasantly surprised and reassured by this car’s reliability and quality even in cold, snowy and icy conditions. My friends are impressed and it turns a ton of heads with its styling - particularly mine as I walk away from it. I’m looking forward to years of enjoyment driving this beauty",2023-01-10,8.0,,Air GT,100.0
64,General Discussions,Lucid Air To Hit California Streets With Its 400+ Mile Range,https://lucidowners.com/threads/lucid-air-to-hit-california-streets-with-its-400-mile-range.13/,Joe,Staff Member,False,2017-07-19,308,Texas,,"Lucid Motors has been cleared by the state of California to allow them to begin road-testing of their first offering, the Lucid Air electric sedan. This marks another milestone for the company, as until now, they were limited to testing out their pre-production test vehicles on private property. 

The company has been using Auto Club Speedway, in Fontana, California as their primary testing facility for driving-related testing. But as of this week, they will be allowed to take it to the streets.





​After a couple of years of delays, Lucid received the financing they needed, and the Air is scheduled to begin production in the 4th quarter of 2020. We're pleased to hear that Lucid isn't backing down from their initial claims of more than 400 miles of range (EPA-rated range, that is) and also the 900-volt battery system. In fact, we're now getting what appears to be official confirmation on it.

If Lucid delivers on the promise of a 400+ mile range EV, they may be the first manufacturer to crack the 400-mile mark. Elon Musk recently promised a 400-mile Model S, but gave no timeline as to when that will happen. Therefore, if Lucid does begin selling the Air before the end of this year, and Tesla doesn't update the Model S before then Lucid will indeed, be the first to 400.

We were actually reminded of those facts by a recent tweet from BloomberyNEF's Head of Energy Storage, James Frith when he tweeted:




​Also, according to Electrek, Lucid's CEO and CTO, Peter Rawlinson, said that their vehicle is more efficient because of the 900-volt battery system:

So the 900-volt battery system looks to indeed be making it to the production Lucid Air. With all of the delays and financial issues Lucid had over the past few years, we weren't sure if they had decided to alter the battery system in an effort to speed up their engineering processes and reduce costs, that evidently didn't happen.

A 900-volt system will also allow Lucid to offer very high DC fast charging rates like Porsche did with the Taycan's 800-volt battery, as the Taycan can charge up to 270 kW. It's possible that the Air may be able to charge at over 300 kW. Some Electrify America stations can deliver up to 350 kW, so the power is there if the Air can take it. 

The production version of the Air will be introduced at the New York Auto show and is expected to retain much of the concept's appearance and features. Lucid Motors is planning a press event in about a month and InsideEVs had already been invited, so we'll have more information on the electric startup soon. Let us know what questions you'd like answered when we visit their headquarters next month, and we'll try to get the answers. 

Source: https://insideevs.com/news/397027/l...zqE_9754BODcHHrtbPxAiA4rEJZCQo9BBiCgXmR5RT708",2020-02-06,8.0,,,
70,General Discussions,Lucid teases EPA Range Test for Lucid Air,https://lucidowners.com/threads/lucid-teases-epa-range-test-for-lucid-air.29/,hmp10,Active Member,True,2020-03-07,2991,"Naples, FL","Model S Plaid, Odyssey","Exactly so. This is one of the key differences that is emerging between Tesla and Lucid. Lucid's claims might not be dosed with hype.

Despite my earlier skepticism, I'm actually beginning to believe Lucid's claims that it will deliver 400 miles of range in ""real world highway driving"", i.e., running at the speed limit on an interstate -- which it apparently did running up the I-5 from Los Angeles to San Francisco.

What remains to be seen is whether Lucid's claim that the battery pack will accept a fast charge to 100% capacity with less serious degradation than current battery chemistries holds up. That would make the range claims truly meaningful for long road trips.",2020-08-09,7.5,154.0,,
1441,Ordering / Pricing / Production / Delivery,Battery Sizes - New information for Pure AWD / RWD,https://lucidowners.com/threads/battery-sizes-new-information-for-pure-awd-rwd.1549/,LCIDdreams,Active Member,False,2022-04-08,602,,Lucid Air Pure…eventually,That would be 6.2mi/kWh though. That is off the charts good. I wouldn’t complain if that’s what I get but don’t see it being possible. Maybe it was 75kwh rather than 65kwh.,2022-05-31,7.5,,Air Pure,90.0
588,General Discussions,Test drove the Air,https://lucidowners.com/threads/test-drove-the-air.4787/,evdriver,New Member,False,2023-02-17,13,"Montréal, Canada","Tesla Model X, Model 3","Morning. New member here!

Been driving Teslas for 8 years and have purchased 3. First was a P85D which I traded in 6 years ago for an X. I still own it today and along the way, we traded my wife’s Lexus for a Model 3 Performance. Had discarded Lucid as a future option first time I heard of it. Look didn’t catch my eye and I was frankly overall happy with Tesla driving dynamics.

A few weeks ago, I was in Vancouver on a business trip and a colleague mentioned he had stopped by the Lucid Studio and was quite impressed. Didn’t think we had a studio here in Montreal so wanted to drop by as well but ran out of time. Flew back home and the thought of needing to take a second look at Lucid lingered.

Checked out the web site and realized it’s 500+ miles of range? What? (I know, their claim to fame but to my defence I just skipped Lucid news as I had discarded it as an option for me.) Watched quite a bit of YouTube and the look grew on me. And of course, it confirmed my Tesla interiors were a let down. I then searched to see when Lucid would open a studio here and surprise, they just did!

So, I booked a test drive. Was quite impressed. Went in a second time to take another look at the car. At that point, they kindly offered me to do another, longer test drive. I thought I’d share my impressions and how they align with I had read and heard before getting behind the wheels of one.

-OUTSIDE: This car looks much better in person. Photos and videos don’t do it justice. I first discounted the nose/grill as odd online but it’s not at all. It’s probably the most successful front end since cars no longer require air flow there. Car’s got presence and a unique look IMO.

-INSIDE: Probably the part I love the most. It’s classy but not stuffy. Feels like a modern take on luxury cars. Tried the EQS right after the Air and while it‘s got a gorgeous, plush inside, it felt older.

-SCREENS: After all the negative comments, I was expecting bad UI ergonomics and sluggish response. I imagine the bulk of these comments came mostly from early firmware iterations because my feeling is different. Sure Tesla offers more options on its screens but their experience is more akin to using an iPad. Do anything you want. I feel like Lucid’s UI is simpler and more purpose built. Less stuff fights for your attention or gets in the way. And the screens feel more seamlessly integrated into their environment.

-COLORS: No good or bad answer here. It’s personal of course. Two tone was another turn off for me initially. Now that I’ve seen a few vehicles, I find the two tone looks really good on light bodied cars or on dark bodied cars with the stealth option. As for interior colors, I love them all. Been going back and forth non stop on what I’d pick.

-DRIVING: So I drove an Air GT Range twice. Less bouncy than my X, not as harsh as my 3 obviously but also the S (both my old P85D and the Raven model I recently test drove). So the ride seems like a good balance of sport and road comfort. The acceleration felt stronger than the non performance Teslas although the 0-60 is roughly the same. It had a more of an initial kick, which I like. Is it because the rear motors are more powerful? Either way, quite pleasant. 

I was debating upgrading my X to an S or the EQS. The EQS is now out of the running for looks and range. It’s now been replaced by the Air, which is at the top of my list.

Will continue mulling it over the next few days but thanks to all on this forum. The information is quite helpful to make a decision.",2023-02-19,7.5,,,
301,Driving Dynamics,Dream Owners Range Question,https://lucidowners.com/threads/dream-owners-range-question.4945/,hmp10,Active Member,True,2020-03-07,2991,"Naples, FL","Model S Plaid, Odyssey","
I can't really say, as I've never wanted to go without a break when driving the distance it would take to exhaust a full Dream Edition battery.

What I do know is that on our road trips we consistently drive around 80mph or a bit over with occasional higher bursts to get away from traffic clumps. We keep the A/C set to 70 degrees on hot days and run the audio system at decent volume. We start looking to combine a break with a charging stop around the 3-hour mark. And we have never used more that 67% of the battery charge in these conditions.

The only issue with using the Lucid on road trips has to do with the unreliability of the Electrify America network. The car itself presents no range issues whatsoever.",2023-03-07,7.5,154.0,,
409,General Discussions,Is Power vs Range mainly a software setting?,https://lucidowners.com/threads/is-power-vs-range-mainly-a-software-setting.1452/,Bunnylebowski,Active Member,True,2022-03-22,2353,,"Air GT Black/Tahoe/19""","Exactly. On my road trip I gunned it several times in Swift mode and still ended up with 3.6 mi/kWh. I’m sure if you were driving like you were on a track it would kill the range, but there’s seems to be not much of range penalty to have some fun. I don’t even know what Sprint mode is for, Swift is plenty insane if you’re looking to amuse yourself/terrify your passengers.",2022-05-23,7.5,,Air GT,90.0
297,Driving Dynamics,Dream Owners Range Question,https://lucidowners.com/threads/dream-owners-range-question.4945/,ken43,Member,True,2021-12-20,74,Dayton,Air GT,"I have a GT (not a DE) with 19"" wheels, picked up in December 2022. 1900 total miles, all in cold winter conditions in Ohio. Yesterday the temp was 73 degrees; first warm day since I've had the car. I went on a 50 mile trip, mostly freeway, cruising at 68 MPH. I set the trip meter at start of the trip and at the end the mileage was exactly 5.0 mi/KWh. My previous range in cold weather was 3.4mi/KWh, so warm weather and conservative driving made a huge difference.",2023-03-07,7.5,,Air GT,100.0
75,General Discussions,Lucid teases EPA Range Test for Lucid Air,https://lucidowners.com/threads/lucid-teases-epa-range-test-for-lucid-air.29/,Hawk,Active Member,False,2020-06-20,144,,,"From TopSpeed - ""The-lucid-air-could-dethrone-the-tesla-model-s-with-a-range-of-442-miles"" - https://www.topspeed.com/cars/car-n...del-s-with-a-range-of-442-miles-ar189218.html",2020-08-10,7.5,,,
640,Photos / Videos / Reviews,6 months & 20k+ miles later,https://lucidowners.com/threads/6-months-20k-miles-later.4786/,Isaac Bair,New Member,False,2022-10-20,1,,Lucid Air Grand Touring,"Hello all. After owning this beautiful vehicle 6 months we’ve driven her over 20k miles and it’s been wonderful. It still looks new inside/out and have had no real issues whatsoever. Really the only annoying thing is the Bluetooth connectivity when locking/unlocking sometimes but is not an issue if I have the key fob. We travel a lot mainly for work and to see family. It gets charged to 100% a lot, which we used to do in the Tesla for road trips as well. I’m not worried at all. I’ve always driven every vehicle I’ve ever owned hard. I hand wash it every week, keep the air in the tires good and mostly charge at home. Our trips are usually 300-415 miles round trip so no DC fast charging needed. The range is fairly accurate but one does have to account for certain driving behaviors, terrain and weather conditions. I’m guessing when driving long distances in our situation which is in Florida, 70degrees with a Grand Touring on 19” wheels in smooth going the speed limit we’ll lose from 60-95 miles from the total trip. I cut it close once and made it home with 10 miles left. Our lifetime average is 3.7kwh but have seen 4-4.2 driving around town. Range is king and was the main reason for buying this car. This is also why we opted for the 19” wheels. You lose a huge amount of range with the 21”s. So if getting a Touring for example with the estimated 425EPA range it’s actually somewhere around 340-350 then on top of that you lose about 55 more miles from having the 21”s so now you’re at 290ish. And that’s with flat terrain in good weather. That’s a huge hit. The tires still look new and there’s no visible inner or outer tire ware that I can see. No rattles whatsoever and I believe the software issues are way over blown. When compared to our model 3 it’s really not a huge difference in my opinion. I actually really like the dreamdrive pro better than FSD. The main reason is there is no Phantom braking on the Lucid. That really kills it for me on the Tesla. Over all it’s been a fabulous vehicle and I’ll keep everybody updated on any maintenance issues that we come across. Cheers!",2023-02-19,7.5,0.0,Air GT,100.0
499,General Discussions,Give Kudos to Lucid,https://lucidowners.com/threads/give-kudos-to-lucid.1707/,Tesla2.0,Active Member,True,2022-05-02,3707,"Houston, Texas",Lucid Air Grand Touring,"Shout out to Joshua and Houston Service Center Team.

Service is ALWAYS prompt, Josh always go extra miles, whether it’s mailing, lyft me away, sending service truck, scheduling check ups, picking up car cleaned up and charged up. Everything was done in extra miles for client satisfaction. Even when I was traveling oversea, I still get periodic update and attention needed to service coordination at home. Before I get my AGT, the communication was almost nonexistent, but after I got my delivery, it became totally opposite, I feel like extra special. Kudo to Joshua’s team in Houston Service Center!",2022-07-10,7.5,,Air GT,100.0
